StationId,StationTitle,OfficialWebsite,StreamURL
57,Radio Sawa,https://radiosawa.net,https://mbnv-audio-ingest.akamaized.net/hls/live/2038905/MBNV_SAWA_LEVANT_AUDIO_HLS/master_11.m3u8
58,Moroccan Voice,https://moroccanvoice.com,http://channel0.moroccanvoice.com:8000/;stream/1
59,Chabab Maroc,https://chababmaroc.ma,http://streaming.radionomy.com/jeunesradioma#aud
60,Nass Radio,https://nessradio.ma,https://radio.nessradio.net:8212/nessradio#aud
61,Plus Casablanca,https://teleplus.ma,http://rpc.ice.infomaniak.ch/rpc-casa.mp3
62,Plus Agadir,https://teleplus.ma,http://rpc.ice.infomaniak.ch/rpc-agadir.mp3
63,Radio Yabiladi,https://yabiladi.com,https://radio.yabiladi.com:8002/;stream.mp3
64,Achkid FM,https://radioenlignefrance.com/yan-plus-radio,https://stream.zeno.fm/7nqu31p6xg0uv#aud
65,Izlanzik Radio,https://izlan.fr,https://izlan.fr/radios/atlas/stream#aud
66,Sawt Ouarzazate,https://sawtouarzazate.ma,http://162.210.196.145:20016/stream.mp3
67,Orient FM,https://orientfm.ma,http://stream3.broadcast-associes.com:8405/Radio-Orient
68,Maroc Music,https://marocmusic.ma,https://streaming.radionomy.com/MarocMusic#aud
69,TANGER MED,https://tangermed.ma,http://radiotangermed-22.ice.infomaniak.ch/radiotangermed-22-128.mp3
70,Radio Atbir,https://radioatbir.com/,http://stream.zenolive.com/bqdbb6hd0neuv#aud
71,Oxygene Radio,https://oxygene.ma/,https://radiocampus.ice.infomaniak.ch/radiocampus-128.mp3
